serial_time	550_nm	680_nm	 
736865.952002314850	NaN	NaN	
736865.952013888860	NaN	NaN	
736865.952025462990	NaN	NaN	
736865.952037037000	NaN	NaN	
736865.952048611130	NaN	NaN	
736865.952060185140	NaN	NaN	
736865.952071759270	NaN	NaN	
736865.952083333280	NaN	NaN	
736865.952094907410	NaN	NaN	
736865.952106481530	NaN	NaN	
736865.952118055550	NaN	NaN	
736865.952129629670	NaN	NaN	
736865.952141203680	NaN	NaN	
736865.952152777810	NaN	NaN	
736865.952164351820	NaN	NaN	
736865.952175925950	NaN	NaN	
736865.952187499960	NaN	NaN	
736865.952199074090	NaN	NaN	
736865.952210648100	NaN	NaN	
736865.952222222230	NaN	NaN	
736865.952233796240	NaN	NaN	
736865.952245370370	NaN	NaN	
736865.952256944500	NaN	NaN	
736865.952268518510	NaN	NaN	
736865.952280092640	NaN	NaN	
736865.952291666650	NaN	NaN	
736865.952303240770	NaN	NaN	
736865.952314814790	NaN	NaN	
736865.952326388910	NaN	NaN	
736865.952337962920	NaN	NaN	
736865.952349537050	NaN	NaN	
736865.952361111060	NaN	NaN	
736865.952372685190	NaN	NaN	
736865.952384259320	NaN	NaN	
736865.952395833330	NaN	NaN	
736865.952407407460	NaN	NaN	
736865.952418981470	NaN	NaN	
736865.952430555600	NaN	NaN	
736865.952442129610	NaN	NaN	
736865.952453703740	NaN	NaN	
736865.952465277750	NaN	NaN	
736865.952476851870	NaN	NaN	
736865.952488425890	NaN	NaN	
736865.952500000010	NaN	NaN	
736865.952511574030	NaN	NaN	
736865.952523148150	NaN	NaN	
736865.952534722160	NaN	NaN	
736865.952546296290	NaN	NaN	
736865.952557870420	NaN	NaN	
736865.952569444430	NaN	NaN	
736865.952581018560	NaN	NaN	
736865.952592592570	NaN	NaN	
736865.952604166700	NaN	NaN	
736865.952615740710	NaN	NaN	
736865.952627314840	NaN	NaN	
736865.952638888850	NaN	NaN	
736865.952650462980	NaN	NaN	
736865.952662036990	NaN	NaN	
736865.952673611110	NaN	NaN	
736865.952685185240	NaN	NaN	
736865.952696759250	NaN	NaN	
736865.952708333380	NaN	NaN	
736865.952719907390	NaN	NaN	
736865.952731481520	NaN	NaN	
736865.952743055530	NaN	NaN	
736865.952754629660	NaN	NaN	
736865.952766203670	NaN	NaN	
736865.952777777800	NaN	NaN	
736865.952789351810	NaN	NaN	
736865.952800925940	NaN	NaN	
736865.952812499950	NaN	NaN	
736865.952824074080	NaN	NaN	
736865.952835648200	NaN	NaN	
736865.952847222220	NaN	NaN	
736865.952858796340	NaN	NaN	
736865.952870370350	NaN	NaN	
736865.952881944480	NaN	NaN	
736865.952893518490	NaN	NaN	
736865.952905092620	NaN	NaN	
736865.952916666630	9.03	4.93	
736865.952928240760	9.04	4.92	
736865.952939814770	9.05	4.92	
736865.952951388900	9.06	4.91	
736865.952962962910	9.09	4.90	
736865.952974537040	9.13	4.91	
736865.952986111170	9.13	4.90	
736865.952997685180	9.12	4.90	
736865.953009259300	9.12	4.89	
736865.953020833320	9.13	4.87	
736865.953032407440	9.14	4.87	
736865.953043981460	9.17	4.86	
736865.953055555580	9.17	4.85	
736865.953067129590	9.17	4.85	
736865.953078703720	9.17	4.85	
736865.953090277730	9.16	4.84	
736865.953101851860	9.16	4.83	
736865.953113425870	9.15	4.83	
736865.953125000000	9.14	4.81	
736865.953136574130	9.13	4.80	
736865.953148148140	9.12	4.80	
736865.953159722270	9.11	4.78	
736865.953171296280	9.10	4.78	
736865.953182870410	9.10	4.77	
736865.953194444420	9.11	4.77	
736865.953206018540	9.12	4.76	
736865.953217592560	9.12	4.75	
736865.953229166680	9.12	4.75	
736865.953240740700	9.12	4.76	
736865.953252314820	9.12	4.76	
736865.953263888830	9.11	4.76	
736865.953275462960	9.09	4.76	
736865.953287037090	9.09	4.76	
736865.953298611100	9.08	4.76	
736865.953310185230	9.07	4.78	
736865.953321759240	9.06	4.79	
736865.953333333370	9.04	4.80	
736865.953344907380	9.03	4.78	
736865.953356481510	9.03	4.77	
736865.953368055520	9.03	4.77	
736865.953379629650	9.05	4.77	
