f-res (Hz):	1385
1355.000	222420.017
1356.000	230084.271
1357.000	237739.547
1358.000	245367.688
1359.000	252950.038
1360.000	260467.515
1361.000	267900.684
1362.000	275229.839
1363.000	282435.088
1364.000	289496.437
1365.000	296393.881
1366.000	303107.501
1367.000	309617.552
1368.000	315904.563
1369.000	321949.434
1370.000	327733.526
1371.000	333238.764
1372.000	338447.724
1373.000	343343.729
1374.000	347910.935
1375.000	352134.420
1376.000	356000.261
1377.000	359495.612
1378.000	362608.774
1379.000	365329.265
1380.000	367647.872
1381.000	369556.707
1382.000	371049.251
1383.000	372120.391
1384.000	372766.449
1385.000	372985.204
1386.000	372775.902
1387.000	372139.264
1388.000	371077.480
1389.000	369594.194
1390.000	367694.490
1391.000	365384.855
1392.000	362673.147
1393.000	359568.550
1394.000	356081.520
1395.000	352223.728
1396.000	348007.997
1397.000	343448.225
1398.000	338559.316
1399.000	333357.092
1400.000	327858.213
1401.000	322080.088
1402.000	316040.778
1403.000	309758.911
1404.000	303253.577
