"Blue","Green","Red","Date","Hour","Min","Date_Hr"
6.224e-05,4.086e-05,2.474e-05,2017-04-12,1,6,2017-04-12 01:06:00
6.378e-05,4.113e-05,2.505e-05,2017-04-12,1,7,2017-04-12 01:07:00
6.876e-05,4.451e-05,2.676e-05,2017-04-12,1,8,2017-04-12 01:08:00
6.819e-05,4.536e-05,2.704e-05,2017-04-12,1,9,2017-04-12 01:09:00
6.944e-05,4.417e-05,2.648e-05,2017-04-12,1,10,2017-04-12 01:10:00
6.905e-05,4.475e-05,2.745e-05,2017-04-12,1,11,2017-04-12 01:11:00
7.493e-05,4.89e-05,3.017e-05,2017-04-12,1,12,2017-04-12 01:12:00
7.559e-05,4.878e-05,2.991e-05,2017-04-12,1,13,2017-04-12 01:13:00
7.47e-05,4.89e-05,2.875e-05,2017-04-12,1,14,2017-04-12 01:14:00
7.514e-05,4.819e-05,2.904e-05,2017-04-12,1,15,2017-04-12 01:15:00
2.886e-05,1.629e-05,1.609e-05,2017-04-12,1,21,2017-04-12 01:21:00
6.542e-05,4.221e-05,2.5e-05,2017-04-12,1,22,2017-04-12 01:22:00
6.24e-05,4.103e-05,2.418e-05,2017-04-12,1,23,2017-04-12 01:23:00
6.244e-05,3.976e-05,2.325e-05,2017-04-12,1,24,2017-04-12 01:24:00
5.92e-05,3.746e-05,2.21e-05,2017-04-12,1,25,2017-04-12 01:25:00
5.677e-05,3.67e-05,2.241e-05,2017-04-12,1,26,2017-04-12 01:26:00
5.731e-05,3.667e-05,2.14e-05,2017-04-12,1,27,2017-04-12 01:27:00
5.687e-05,3.674e-05,2.219e-05,2017-04-12,1,28,2017-04-12 01:28:00
5.554e-05,3.58e-05,2.164e-05,2017-04-12,1,29,2017-04-12 01:29:00
5.846e-05,3.711e-05,2.287e-05,2017-04-12,1,30,2017-04-12 01:30:00
5.806e-05,3.672e-05,2.262e-05,2017-04-12,1,31,2017-04-12 01:31:00
5.761e-05,3.765e-05,2.265e-05,2017-04-12,1,32,2017-04-12 01:32:00
5.715e-05,3.648e-05,2.232e-05,2017-04-12,1,33,2017-04-12 01:33:00
5.812e-05,3.762e-05,2.236e-05,2017-04-12,1,34,2017-04-12 01:34:00
5.589e-05,3.611e-05,2.16e-05,2017-04-12,1,35,2017-04-12 01:35:00
5.62e-05,3.655e-05,2.191e-05,2017-04-12,1,36,2017-04-12 01:36:00
5.415e-05,3.527e-05,2.142e-05,2017-04-12,1,37,2017-04-12 01:37:00
5.307e-05,3.466e-05,2.054e-05,2017-04-12,1,38,2017-04-12 01:38:00
5.442e-05,3.446e-05,2.047e-05,2017-04-12,1,39,2017-04-12 01:39:00
5.469e-05,3.506e-05,2.086e-05,2017-04-12,1,40,2017-04-12 01:40:00
5.387e-05,3.505e-05,2.115e-05,2017-04-12,1,41,2017-04-12 01:41:00
5.515e-05,3.532e-05,2.138e-05,2017-04-12,1,42,2017-04-12 01:42:00
5.582e-05,3.667e-05,2.205e-05,2017-04-12,1,43,2017-04-12 01:43:00
5.522e-05,3.625e-05,2.217e-05,2017-04-12,1,44,2017-04-12 01:44:00
5.698e-05,3.735e-05,2.242e-05,2017-04-12,1,45,2017-04-12 01:45:00
5.787e-05,3.736e-05,2.292e-05,2017-04-12,1,46,2017-04-12 01:46:00
5.885e-05,3.785e-05,2.272e-05,2017-04-12,1,47,2017-04-12 01:47:00
6.006e-05,3.804e-05,2.292e-05,2017-04-12,1,48,2017-04-12 01:48:00
5.954e-05,3.825e-05,2.274e-05,2017-04-12,1,49,2017-04-12 01:49:00
5.823e-05,3.795e-05,2.354e-05,2017-04-12,1,50,2017-04-12 01:50:00
5.875e-05,3.779e-05,2.291e-05,2017-04-12,1,51,2017-04-12 01:51:00
5.861e-05,3.779e-05,2.256e-05,2017-04-12,1,52,2017-04-12 01:52:00
5.857e-05,3.818e-05,2.304e-05,2017-04-12,1,53,2017-04-12 01:53:00
5.785e-05,3.779e-05,2.235e-05,2017-04-12,1,54,2017-04-12 01:54:00
5.884e-05,3.878e-05,2.305e-05,2017-04-12,1,55,2017-04-12 01:55:00
5.776e-05,3.745e-05,2.323e-05,2017-04-12,1,56,2017-04-12 01:56:00
5.764e-05,3.756e-05,2.233e-05,2017-04-12,1,57,2017-04-12 01:57:00
5.816e-05,3.76e-05,2.278e-05,2017-04-12,1,58,2017-04-12 01:58:00
5.733e-05,3.725e-05,2.314e-05,2017-04-12,1,59,2017-04-12 01:59:00
5.971e-05,3.791e-05,2.313e-05,2017-04-12,2,0,2017-04-12 02:00:00
5.813e-05,3.744e-05,2.244e-05,2017-04-12,2,1,2017-04-12 02:01:00
5.822e-05,3.765e-05,2.277e-05,2017-04-12,2,2,2017-04-12 02:02:00
5.808e-05,3.696e-05,2.29e-05,2017-04-12,2,3,2017-04-12 02:03:00
5.71e-05,3.725e-05,2.233e-05,2017-04-12,2,4,2017-04-12 02:04:00
5.811e-05,3.733e-05,2.287e-05,2017-04-12,2,5,2017-04-12 02:05:00
5.655e-05,3.658e-05,2.261e-05,2017-04-12,2,6,2017-04-12 02:06:00
5.636e-05,3.686e-05,2.203e-05,2017-04-12,2,7,2017-04-12 02:07:00
5.753e-05,3.685e-05,2.26e-05,2017-04-12,2,8,2017-04-12 02:08:00
5.706e-05,3.646e-05,2.272e-05,2017-04-12,2,9,2017-04-12 02:09:00
5.519e-05,3.677e-05,2.232e-05,2017-04-12,2,10,2017-04-12 02:10:00
5.689e-05,3.705e-05,2.165e-05,2017-04-12,2,11,2017-04-12 02:11:00
5.704e-05,3.734e-05,2.215e-05,2017-04-12,2,12,2017-04-12 02:12:00
5.708e-05,3.705e-05,2.247e-05,2017-04-12,2,13,2017-04-12 02:13:00
5.608e-05,3.621e-05,2.194e-05,2017-04-12,2,14,2017-04-12 02:14:00
5.546e-05,3.613e-05,2.208e-05,2017-04-12,2,15,2017-04-12 02:15:00
2.87e-05,1.631e-05,1.624e-05,2017-04-12,2,21,2017-04-12 02:21:00
5.555e-05,3.689e-05,2.224e-05,2017-04-12,2,22,2017-04-12 02:22:00
5.679e-05,3.692e-05,2.192e-05,2017-04-12,2,23,2017-04-12 02:23:00
5.812e-05,3.733e-05,2.229e-05,2017-04-12,2,24,2017-04-12 02:24:00
