"Blue","Green","Red","Date","Hour","Min","Date_Hr"
5.651e-05,3.747e-05,2.216e-05,2017-04-26,10,2,2017-04-26 10:02:00
5.549e-05,3.694e-05,2.166e-05,2017-04-26,10,3,2017-04-26 10:03:00
5.494e-05,3.604e-05,2.186e-05,2017-04-26,10,4,2017-04-26 10:04:00
5.566e-05,3.585e-05,2.187e-05,2017-04-26,10,5,2017-04-26 10:05:00
5.721e-05,3.652e-05,2.225e-05,2017-04-26,10,6,2017-04-26 10:06:00
5.525e-05,3.674e-05,2.184e-05,2017-04-26,10,7,2017-04-26 10:07:00
5.564e-05,3.601e-05,2.118e-05,2017-04-26,10,8,2017-04-26 10:08:00
5.539e-05,3.629e-05,2.125e-05,2017-04-26,10,9,2017-04-26 10:09:00
5.156e-05,3.309e-05,2.019e-05,2017-04-26,10,10,2017-04-26 10:10:00
4.781e-05,3.141e-05,1.895e-05,2017-04-26,10,11,2017-04-26 10:11:00
4.631e-05,2.984e-05,1.782e-05,2017-04-26,10,12,2017-04-26 10:12:00
4.369e-05,2.887e-05,1.738e-05,2017-04-26,10,13,2017-04-26 10:13:00
4.543e-05,2.979e-05,1.771e-05,2017-04-26,10,14,2017-04-26 10:14:00
4.644e-05,3.052e-05,1.787e-05,2017-04-26,10,15,2017-04-26 10:15:00
4.599e-05,2.966e-05,1.792e-05,2017-04-26,10,16,2017-04-26 10:16:00
4.778e-05,3.168e-05,1.823e-05,2017-04-26,10,17,2017-04-26 10:17:00
4.748e-05,3.057e-05,1.836e-05,2017-04-26,10,18,2017-04-26 10:18:00
4.733e-05,3.033e-05,1.829e-05,2017-04-26,10,19,2017-04-26 10:19:00
4.853e-05,3.11e-05,1.853e-05,2017-04-26,10,20,2017-04-26 10:20:00
4.725e-05,3.18e-05,1.902e-05,2017-04-26,10,21,2017-04-26 10:21:00
4.797e-05,3.1e-05,1.824e-05,2017-04-26,10,22,2017-04-26 10:22:00
4.712e-05,3.099e-05,1.83e-05,2017-04-26,10,23,2017-04-26 10:23:00
4.551e-05,2.995e-05,1.748e-05,2017-04-26,10,24,2017-04-26 10:24:00
4.549e-05,2.942e-05,1.712e-05,2017-04-26,10,25,2017-04-26 10:25:00
4.657e-05,2.973e-05,1.799e-05,2017-04-26,10,26,2017-04-26 10:26:00
4.392e-05,2.84e-05,1.665e-05,2017-04-26,10,27,2017-04-26 10:27:00
4.299e-05,2.768e-05,1.676e-05,2017-04-26,10,28,2017-04-26 10:28:00
4.204e-05,2.706e-05,1.583e-05,2017-04-26,10,29,2017-04-26 10:29:00
4.098e-05,2.661e-05,1.575e-05,2017-04-26,10,30,2017-04-26 10:30:00
4.205e-05,2.64e-05,1.59e-05,2017-04-26,10,31,2017-04-26 10:31:00
4.204e-05,2.664e-05,1.675e-05,2017-04-26,10,32,2017-04-26 10:32:00
4.076e-05,2.635e-05,1.573e-05,2017-04-26,10,33,2017-04-26 10:33:00
4.042e-05,2.631e-05,1.547e-05,2017-04-26,10,34,2017-04-26 10:34:00
2.848e-05,1.626e-05,1.596e-05,2017-04-26,10,35,2017-04-26 10:35:00
4.251e-05,2.654e-05,1.548e-05,2017-04-26,10,41,2017-04-26 10:41:00
4.276e-05,2.769e-05,1.611e-05,2017-04-26,10,42,2017-04-26 10:42:00
4.434e-05,2.78e-05,1.662e-05,2017-04-26,10,43,2017-04-26 10:43:00
4.146e-05,2.727e-05,1.631e-05,2017-04-26,10,44,2017-04-26 10:44:00
4.29e-05,2.785e-05,1.584e-05,2017-04-26,10,45,2017-04-26 10:45:00
4.494e-05,2.857e-05,1.699e-05,2017-04-26,10,46,2017-04-26 10:46:00
4.488e-05,2.905e-05,1.695e-05,2017-04-26,10,47,2017-04-26 10:47:00
4.472e-05,2.967e-05,1.764e-05,2017-04-26,10,48,2017-04-26 10:48:00
4.694e-05,3.072e-05,1.9e-05,2017-04-26,10,49,2017-04-26 10:49:00
4.658e-05,3.028e-05,1.789e-05,2017-04-26,10,50,2017-04-26 10:50:00
4.618e-05,2.98e-05,1.722e-05,2017-04-26,10,51,2017-04-26 10:51:00
4.59e-05,2.97e-05,1.739e-05,2017-04-26,10,52,2017-04-26 10:52:00
0.0001353,0.0001213,0.0001002,2017-04-26,10,53,2017-04-26 10:53:00
5.952e-05,4.424e-05,3.012e-05,2017-04-26,10,54,2017-04-26 10:54:00
4.472e-05,2.919e-05,1.718e-05,2017-04-26,10,55,2017-04-26 10:55:00
5.437e-05,3.984e-05,2.729e-05,2017-04-26,10,56,2017-04-26 10:56:00
4.518e-05,3.02e-05,1.831e-05,2017-04-26,10,57,2017-04-26 10:57:00
4.558e-05,2.865e-05,1.705e-05,2017-04-26,10,58,2017-04-26 10:58:00
9.858e-05,8.847e-05,7.467e-05,2017-04-26,10,59,2017-04-26 10:59:00
9.757e-05,8.896e-05,7.461e-05,2017-04-26,11,0,2017-04-26 11:00:00
