"Blue","Green","Red","Date","Hour","Min","Date_Hr"
3.71e-05,2.576e-05,1.515e-05,2017-06-20,0,4,2017-06-20 00:04:00
3.902e-05,2.72e-05,1.624e-05,2017-06-20,0,9,2017-06-20 00:09:00
3.993e-05,2.724e-05,1.593e-05,2017-06-20,0,14,2017-06-20 00:14:00
4.118e-05,2.866e-05,1.688e-05,2017-06-20,0,19,2017-06-20 00:19:00
4.008e-05,2.749e-05,1.608e-05,2017-06-20,0,24,2017-06-20 00:24:00
3.884e-05,2.673e-05,1.563e-05,2017-06-20,0,29,2017-06-20 00:29:00
3.941e-05,2.731e-05,1.578e-05,2017-06-20,0,34,2017-06-20 00:34:00
3.875e-05,2.623e-05,1.545e-05,2017-06-20,0,39,2017-06-20 00:39:00
4.882e-05,2.745e-05,2.539e-05,2017-06-20,0,44,2017-06-20 00:44:00
3.671e-05,2.596e-05,1.558e-05,2017-06-20,0,54,2017-06-20 00:54:00
3.812e-05,2.68e-05,1.643e-05,2017-06-20,0,59,2017-06-20 00:59:00
3.807e-05,2.676e-05,1.564e-05,2017-06-20,1,4,2017-06-20 01:04:00
3.889e-05,2.735e-05,1.63e-05,2017-06-20,1,9,2017-06-20 01:09:00
3.829e-05,2.677e-05,1.602e-05,2017-06-20,1,14,2017-06-20 01:14:00
3.775e-05,2.708e-05,1.641e-05,2017-06-20,1,19,2017-06-20 01:19:00
3.895e-05,2.782e-05,1.683e-05,2017-06-20,1,24,2017-06-20 01:24:00
3.804e-05,2.688e-05,1.656e-05,2017-06-20,1,29,2017-06-20 01:29:00
3.73e-05,2.633e-05,1.583e-05,2017-06-20,1,34,2017-06-20 01:34:00
3.447e-05,2.492e-05,1.482e-05,2017-06-20,1,39,2017-06-20 01:39:00
4.93e-05,2.728e-05,2.508e-05,2017-06-20,1,44,2017-06-20 01:44:00
3.539e-05,2.42e-05,1.412e-05,2017-06-20,1,54,2017-06-20 01:54:00
3.643e-05,2.54e-05,1.504e-05,2017-06-20,1,59,2017-06-20 01:59:00
3.859e-05,2.63e-05,1.574e-05,2017-06-20,2,4,2017-06-20 02:04:00
3.73e-05,2.625e-05,1.562e-05,2017-06-20,2,9,2017-06-20 02:09:00
3.805e-05,2.622e-05,1.567e-05,2017-06-20,2,14,2017-06-20 02:14:00
3.776e-05,2.627e-05,1.574e-05,2017-06-20,2,19,2017-06-20 02:19:00
3.719e-05,2.536e-05,1.55e-05,2017-06-20,2,24,2017-06-20 02:24:00
3.746e-05,2.601e-05,1.516e-05,2017-06-20,2,29,2017-06-20 02:29:00
3.851e-05,2.621e-05,1.559e-05,2017-06-20,2,34,2017-06-20 02:34:00
3.931e-05,2.786e-05,1.635e-05,2017-06-20,2,39,2017-06-20 02:39:00
4.903e-05,2.728e-05,2.521e-05,2017-06-20,2,44,2017-06-20 02:44:00
4.14e-05,2.884e-05,1.775e-05,2017-06-20,2,54,2017-06-20 02:54:00
4.222e-05,3.002e-05,1.779e-05,2017-06-20,2,59,2017-06-20 02:59:00
4.457e-05,3.171e-05,1.944e-05,2017-06-20,3,4,2017-06-20 03:04:00
4.643e-05,3.232e-05,2.031e-05,2017-06-20,3,9,2017-06-20 03:09:00
4.75e-05,3.381e-05,2.072e-05,2017-06-20,3,14,2017-06-20 03:14:00
4.938e-05,3.527e-05,2.161e-05,2017-06-20,3,19,2017-06-20 03:19:00
5.119e-05,3.557e-05,2.198e-05,2017-06-20,3,24,2017-06-20 03:24:00
5.412e-05,3.839e-05,2.351e-05,2017-06-20,3,29,2017-06-20 03:29:00
5.339e-05,3.746e-05,2.259e-05,2017-06-20,3,34,2017-06-20 03:34:00
5.425e-05,3.812e-05,2.334e-05,2017-06-20,3,39,2017-06-20 03:39:00
4.914e-05,2.721e-05,2.483e-05,2017-06-20,3,44,2017-06-20 03:44:00
