6/19/2017 Ineph  Calibration,Blue,Green,Red
K2,3.73E-03,3.69E-03,2.19E-03
K4,4.93E-01,4.64E-01,4.74E-01
,,,
Maynard Ineph Calibration,Blue,Green ,Red
K2,2.13E-03,2.18E-03,1.37E-03
K4,4.96E-01,4.94E-01,5.21E-01
,,,
K2 % Difference,54.75051265,51.4227296,46.09613025
K4 % Difference,-0.606673407,-6.263048017,-9.441490698
K2 % Error,75.38823529,69.22018349,59.9024967
K4 % Error,-0.60483871,-6.072874494,-9.015874235
