,Time Stamp,Raw Blue Data,Raw Green Data,Raw Red Data,S.A.E. (Blue:Green),S.A.E. (Green:Red),Blue Correction Factor,Green Correction Factor,Red Correction Factor,Corrected Blue Data,Corrected Green Data,Corrected Red Data
0,2017-06-19 15:59:00,2.104e-05,1.135e-05,9.307e-06,3.075723849566813,0.822894535497017,1.1628768145176989,1.1499691269299728,1.1046294471551057,24.466928177452385,13.05214959065519,10.28078626467257
1,2017-06-19 16:04:00,2.062e-05,1.13e-05,9.553e-06,2.9972425793678523,0.6964092388627477,1.1627034710815147,1.1498033201649271,1.1025569930124957,23.974945573700836,12.992777517863676,10.53272695424837
2,2017-06-19 16:09:00,2.121e-05,1.143e-05,9.634e-06,3.0808249771899403,0.7088302855555991,1.1628876175804845,1.1499794602943765,1.1027723133961433,24.664846368882078,13.144265231164722,10.624108467258443
3,2017-06-19 16:14:00,2.104e-05,1.13e-05,9.418999999999999e-06,3.097725159717998,0.7549852670889343,1.1629230172558995,1.150013320853469,1.1035493861207855,24.467900283064125,12.995150525644203,10.394331667871677
4,2017-06-19 16:19:00,2.116e-05,1.152e-05,9.556e-06,3.029978793475774,0.7750615012630501,1.1627774335137906,1.149874066839278,1.1038763593197969,24.60437049315181,13.246549249988481,10.548642489659978
5,2017-06-19 16:24:00,2.066e-05,1.155e-05,9.534e-06,2.897852251841974,0.7954032351399972,1.1624634899386421,1.149573772984788,1.1042010287627058,24.016495702132346,13.277577077974298,10.527452608223639
6,2017-06-19 16:29:00,2.14e-05,1.132e-05,9.581e-06,3.1734571297824616,0.6916059031331865,1.163074502710267,1.1501582199837335,1.1024730068484079,24.889794357999712,13.019791050215863,10.562793878614597
7,2017-06-19 16:34:00,2.08e-05,1.176e-05,9.309e-06,2.8417155924211515,0.9691502528260113,1.1623170262057407,1.1494336772402736,1.106720814508932,24.176194145079407,13.517340044345614,10.302464062263647
8,2017-06-19 16:39:00,2.087e-05,1.144e-05,9.399e-06,2.995936869371392,0.8148573946800336,1.162700470522245,1.1498004500647558,1.104505414089515,24.26555881979925,13.153717148740807,10.38124638702735
9,2017-06-19 16:44:00,2.828e-05,1.614e-05,1.583e-05,2.7948982630219295,0.08041807739103699,1.1621884297545906,1.1493106719391735,1.0877044327458112,32.86668879345982,18.549874245098263,17.21836117036619
10,2017-06-19 16:54:00,4.83e-05,3.317e-05,1.953e-05,1.8726486537265399,2.196423911214877,1.1579290648397795,1.1452364968032673,1.1161079961626779,55.927973831761356,37.98749459896438,21.7975891650571
11,2017-06-19 16:59:00,6.001e-05,4.005e-05,2.293e-05,2.015154931096178,2.312480595021621,1.158868211523473,1.1461348110224523,1.116534463459257,69.54368137352363,45.902699181449215,25.602135247120763
12,2017-06-19 17:04:00,6.038e-05,3.981e-05,2.288e-05,2.0757379960594746,2.2966090844098472,1.1592286651297365,1.1464795927327913,1.116479021348087,69.9942268005335,45.64135258669242,25.545040008444236
13,2017-06-19 17:09:00,6.083e-05,4.091e-05,2.414e-05,1.97691324823325,2.187343744013806,1.1586291802641207,1.14590617242655,1.116072495183594,70.47941303546646,46.87902151397016,26.941990033731958
14,2017-06-19 17:14:00,5.862e-05,3.968e-05,2.37e-05,1.9446220185132903,2.137036982840562,1.1584201011164612,1.145706183676615,1.1158698609336373,67.90658632744696,45.46162136828808,26.4461157041272
15,2017-06-19 17:19:00,5.895e-05,4.047e-05,2.361e-05,1.8743577243770897,2.23455801838482,1.1579411392465877,1.1452480462358663,1.1162536199899227,68.26063015858635,46.34818843116551,26.354747967962076
16,2017-06-19 17:24:00,5.88e-05,4.025e-05,2.4100000000000003e-05,1.888825123006057,2.126778026932328,1.1580425274190003,1.1453450262268698,1.115827271933249,68.09290061223722,46.10013730563151,26.891437253591302
17,2017-06-19 17:29:00,5.799e-05,3.974e-05,2.367e-05,1.8832463000854893,2.148554463487615,1.158003604440244,1.1453077955515376,1.11591715684272,67.15262902148974,45.514531795218105,26.413759102467182
18,2017-06-19 17:34:00,5.902e-05,3.964e-05,2.353e-05,1.9835365554313358,2.1627055002210964,1.158671236730143,1.1459464003505715,1.1159745264292917,68.38477639181303,45.42531530989665,26.258880606881238
19,2017-06-19 17:39:00,5.779e-05,3.944e-05,2.3100000000000002e-05,1.9037917804361626,2.218209279135762,1.1581458821609032,1.145443887284342,1.1161918679917755,66.92925053007859,45.17630691449445,25.784032150610017
20,2017-06-19 17:44:00,4.914e-05,2.743e-05,2.508e-05,2.9054369936814637,0.371395858730791,1.162482655936177,1.149592105678082,1.0958580207505306,57.12439771270373,31.53331145874979,27.484119160423305
21,2017-06-19 17:54:00,5.863e-05,3.896e-05,2.2899999999999998e-05,2.0367250497663067,2.203491607378462,1.1589990586611962,1.1462599691541875,1.116135406684546,67.95211480930593,44.658288398247144,25.559500813076102
22,2017-06-19 17:59:00,5.888e-05,3.918e-05,2.247e-05,2.029868192593443,2.3054427950136085,1.1589577696689437,1.1462204753355112,1.1165099876793658,68.2394334781074,44.90891822364533,25.08797942315535
23,2017-06-19 18:04:00,6.073e-05,3.994e-05,2.284e-05,2.0882943618484355,2.317383383507135,1.1593006790586868,1.1465484756213524,1.1165514126687595,70.40433023923406,45.79314611631682,25.502034265354467
24,2017-06-19 18:09:00,6.1e-05,4.105e-05,2.3899999999999998e-05,1.9737960610675198,2.2429414647582058,1.15860929024225,1.145887147188239,1.1162848962810963,70.67516670477725,47.038667392077215,26.6792090211182
