"Blue","Green","Red","Date","Hour","Min","Date_Hr"
2.104e-05,1.135e-05,9.307e-06,2017-06-19,15,59,2017-06-19 15:59:00
2.062e-05,1.13e-05,9.553e-06,2017-06-19,16,4,2017-06-19 16:04:00
2.121e-05,1.143e-05,9.634e-06,2017-06-19,16,9,2017-06-19 16:09:00
2.104e-05,1.13e-05,9.419e-06,2017-06-19,16,14,2017-06-19 16:14:00
2.116e-05,1.152e-05,9.556e-06,2017-06-19,16,19,2017-06-19 16:19:00
2.066e-05,1.155e-05,9.534e-06,2017-06-19,16,24,2017-06-19 16:24:00
2.14e-05,1.132e-05,9.581e-06,2017-06-19,16,29,2017-06-19 16:29:00
2.08e-05,1.176e-05,9.309e-06,2017-06-19,16,34,2017-06-19 16:34:00
2.087e-05,1.144e-05,9.399e-06,2017-06-19,16,39,2017-06-19 16:39:00
2.828e-05,1.614e-05,1.583e-05,2017-06-19,16,44,2017-06-19 16:44:00
4.83e-05,3.317e-05,1.953e-05,2017-06-19,16,54,2017-06-19 16:54:00
6.001e-05,4.005e-05,2.293e-05,2017-06-19,16,59,2017-06-19 16:59:00
6.038e-05,3.981e-05,2.288e-05,2017-06-19,17,4,2017-06-19 17:04:00
6.083e-05,4.091e-05,2.414e-05,2017-06-19,17,9,2017-06-19 17:09:00
5.862e-05,3.968e-05,2.37e-05,2017-06-19,17,14,2017-06-19 17:14:00
5.895e-05,4.047e-05,2.361e-05,2017-06-19,17,19,2017-06-19 17:19:00
5.88e-05,4.025e-05,2.41e-05,2017-06-19,17,24,2017-06-19 17:24:00
5.799e-05,3.974e-05,2.367e-05,2017-06-19,17,29,2017-06-19 17:29:00
5.902e-05,3.964e-05,2.353e-05,2017-06-19,17,34,2017-06-19 17:34:00
5.779e-05,3.944e-05,2.31e-05,2017-06-19,17,39,2017-06-19 17:39:00
4.914e-05,2.743e-05,2.508e-05,2017-06-19,17,44,2017-06-19 17:44:00
5.863e-05,3.896e-05,2.29e-05,2017-06-19,17,54,2017-06-19 17:54:00
5.888e-05,3.918e-05,2.247e-05,2017-06-19,17,59,2017-06-19 17:59:00
6.073e-05,3.994e-05,2.284e-05,2017-06-19,18,4,2017-06-19 18:04:00
6.1e-05,4.105e-05,2.39e-05,2017-06-19,18,9,2017-06-19 18:09:00
6.136e-05,4.181e-05,2.397e-05,2017-06-19,18,14,2017-06-19 18:14:00
6.07e-05,4.053e-05,2.352e-05,2017-06-19,18,19,2017-06-19 18:19:00
5.543e-05,3.773e-05,2.222e-05,2017-06-19,18,24,2017-06-19 18:24:00
5.257e-05,3.517e-05,2.031e-05,2017-06-19,18,29,2017-06-19 18:29:00
5.069e-05,3.383e-05,1.965e-05,2017-06-19,18,34,2017-06-19 18:34:00
4.867e-05,3.246e-05,1.886e-05,2017-06-19,18,39,2017-06-19 18:39:00
4.857e-05,2.73e-05,2.525e-05,2017-06-19,18,44,2017-06-19 18:44:00
4.352e-05,2.926e-05,1.746e-05,2017-06-19,18,54,2017-06-19 18:54:00
4.321e-05,2.936e-05,1.81e-05,2017-06-19,18,59,2017-06-19 18:59:00
4.446e-05,2.958e-05,1.803e-05,2017-06-19,19,4,2017-06-19 19:04:00
4.319e-05,2.995e-05,1.752e-05,2017-06-19,19,9,2017-06-19 19:09:00
4.403e-05,2.986e-05,1.74e-05,2017-06-19,19,14,2017-06-19 19:14:00
4.388e-05,2.987e-05,1.776e-05,2017-06-19,19,19,2017-06-19 19:19:00
4.588e-05,3.112e-05,1.856e-05,2017-06-19,19,24,2017-06-19 19:24:00
4.774e-05,3.228e-05,1.918e-05,2017-06-19,19,29,2017-06-19 19:29:00
4.614e-05,3.139e-05,1.869e-05,2017-06-19,19,34,2017-06-19 19:34:00
4.8e-05,3.204e-05,1.955e-05,2017-06-19,19,39,2017-06-19 19:39:00
4.913e-05,2.752e-05,2.498e-05,2017-06-19,19,44,2017-06-19 19:44:00
4.949e-05,3.32e-05,1.96e-05,2017-06-19,19,54,2017-06-19 19:54:00
5.16e-05,3.417e-05,2e-05,2017-06-19,19,59,2017-06-19 19:59:00
5.25e-05,3.496e-05,2.043e-05,2017-06-19,20,4,2017-06-19 20:04:00
5.223e-05,3.489e-05,1.985e-05,2017-06-19,20,9,2017-06-19 20:09:00
