"Blue","Green","Red","Date","Hour","Min","Date_Hr"
0.0001251,8.424e-05,4.966e-05,2017-04-27,0,0,2017-04-27 00:00:00
0.0001244,8.397e-05,4.981e-05,2017-04-27,0,1,2017-04-27 00:01:00
0.0001233,8.228e-05,4.984e-05,2017-04-27,0,2,2017-04-27 00:02:00
0.0001226,8.267e-05,4.993e-05,2017-04-27,0,3,2017-04-27 00:03:00
0.0001228,8.37e-05,4.891e-05,2017-04-27,0,4,2017-04-27 00:04:00
0.0001233,8.316e-05,4.891e-05,2017-04-27,0,5,2017-04-27 00:05:00
0.000122,8.197e-05,4.859e-05,2017-04-27,0,6,2017-04-27 00:06:00
0.000122,8.171e-05,4.935e-05,2017-04-27,0,7,2017-04-27 00:07:00
0.0001207,8.185e-05,4.819e-05,2017-04-27,0,8,2017-04-27 00:08:00
0.0001211,8.211e-05,4.876e-05,2017-04-27,0,9,2017-04-27 00:09:00
0.0001217,8.214e-05,4.893e-05,2017-04-27,0,10,2017-04-27 00:10:00
0.0001201,8.069e-05,4.728e-05,2017-04-27,0,11,2017-04-27 00:11:00
0.0001202,8.152e-05,4.786e-05,2017-04-27,0,12,2017-04-27 00:12:00
0.0001195,8.026e-05,4.798e-05,2017-04-27,0,13,2017-04-27 00:13:00
0.0001195,8.16e-05,4.744e-05,2017-04-27,0,14,2017-04-27 00:14:00
0.0001186,8.034e-05,4.701e-05,2017-04-27,0,15,2017-04-27 00:15:00
0.0001208,7.961e-05,4.772e-05,2017-04-27,0,16,2017-04-27 00:16:00
0.0001186,8.055e-05,4.797e-05,2017-04-27,0,17,2017-04-27 00:17:00
0.000118,8.043e-05,4.69e-05,2017-04-27,0,18,2017-04-27 00:18:00
0.0001177,7.965e-05,4.711e-05,2017-04-27,0,19,2017-04-27 00:19:00
0.0001183,8.056e-05,4.748e-05,2017-04-27,0,20,2017-04-27 00:20:00
0.000118,7.991e-05,4.596e-05,2017-04-27,0,21,2017-04-27 00:21:00
0.0001187,7.82e-05,4.616e-05,2017-04-27,0,22,2017-04-27 00:22:00
0.0001191,7.883e-05,4.686e-05,2017-04-27,0,23,2017-04-27 00:23:00
0.000117,7.954e-05,4.645e-05,2017-04-27,0,24,2017-04-27 00:24:00
0.0001171,7.948e-05,4.67e-05,2017-04-27,0,25,2017-04-27 00:25:00
0.0001163,7.827e-05,4.675e-05,2017-04-27,0,26,2017-04-27 00:26:00
0.0001156,7.865e-05,4.649e-05,2017-04-27,0,27,2017-04-27 00:27:00
0.0001171,7.804e-05,4.623e-05,2017-04-27,0,28,2017-04-27 00:28:00
0.0001162,7.754e-05,4.6e-05,2017-04-27,0,29,2017-04-27 00:29:00
0.0001162,7.847e-05,4.617e-05,2017-04-27,0,30,2017-04-27 00:30:00
0.0001166,7.808e-05,4.607e-05,2017-04-27,0,31,2017-04-27 00:31:00
0.000115,7.673e-05,4.507e-05,2017-04-27,0,32,2017-04-27 00:32:00
0.0001168,7.832e-05,4.553e-05,2017-04-27,0,33,2017-04-27 00:33:00
0.0001148,7.796e-05,4.599e-05,2017-04-27,0,34,2017-04-27 00:34:00
2.87e-05,1.631e-05,1.639e-05,2017-04-27,0,35,2017-04-27 00:35:00
0.0001165,7.665e-05,4.521e-05,2017-04-27,0,41,2017-04-27 00:41:00
0.0001152,7.684e-05,4.571e-05,2017-04-27,0,42,2017-04-27 00:42:00
0.0001161,7.753e-05,4.557e-05,2017-04-27,0,43,2017-04-27 00:43:00
0.0001149,7.731e-05,4.61e-05,2017-04-27,0,44,2017-04-27 00:44:00
0.0001142,7.743e-05,4.604e-05,2017-04-27,0,45,2017-04-27 00:45:00
0.0001146,7.726e-05,4.59e-05,2017-04-27,0,46,2017-04-27 00:46:00
0.0001166,7.853e-05,4.562e-05,2017-04-27,0,47,2017-04-27 00:47:00
0.0001173,7.815e-05,4.599e-05,2017-04-27,0,48,2017-04-27 00:48:00
0.0001163,7.735e-05,4.661e-05,2017-04-27,0,49,2017-04-27 00:49:00
0.0001164,7.896e-05,4.73e-05,2017-04-27,0,50,2017-04-27 00:50:00
0.0001164,7.931e-05,4.662e-05,2017-04-27,0,51,2017-04-27 00:51:00
0.000119,7.941e-05,4.724e-05,2017-04-27,0,52,2017-04-27 00:52:00
0.0001176,7.988e-05,4.751e-05,2017-04-27,0,53,2017-04-27 00:53:00
0.0001175,7.942e-05,4.766e-05,2017-04-27,0,54,2017-04-27 00:54:00
0.0001181,7.883e-05,4.732e-05,2017-04-27,0,55,2017-04-27 00:55:00
0.0001208,8.167e-05,4.853e-05,2017-04-27,0,56,2017-04-27 00:56:00
0.0001209,8.141e-05,4.944e-05,2017-04-27,0,57,2017-04-27 00:57:00
0.0001219,8.363e-05,4.916e-05,2017-04-27,0,58,2017-04-27 00:58:00
0.0001211,8.293e-05,5.007e-05,2017-04-27,0,59,2017-04-27 00:59:00
0.000125,8.462e-05,5.069e-05,2017-04-27,1,0,2017-04-27 01:00:00
0.0001236,8.428e-05,5.015e-05,2017-04-27,1,1,2017-04-27 01:01:00
0.0001208,8.339e-05,4.994e-05,2017-04-27,1,2,2017-04-27 01:02:00
0.000123,8.375e-05,4.999e-05,2017-04-27,1,3,2017-04-27 01:03:00
