,Time Stamp,Raw Blue Data,Raw Green Data,Raw Red Data,S.A.E. (Blue:Red),Blue Correction Factor,Green Correction Factor,Red Correction Factor,Corrected Blue Data,Corrected Green Data,Corrected Red Data
0,2017-04-10 13:28:00,5.025e-05,3.483e-05,2.046e-05,2.033662696531454,1.3445865640159878,1.3189419604756814,1.2822133444474781,6.756547484180338,4.593874848336798,2.62340850273954
1,2017-04-10 13:29:00,4.867e-05,3.306e-05,2.005e-05,2.007170508565435,1.3440385403108874,1.3184571702750159,1.2818163785585275,6.541435575693089,4.358819404929202,2.5700418390098476
2,2017-04-10 13:30:00,0.00013209999999999999,0.0001329,0.0001315,0.010303355482314303,1.2105990714083488,1.2004145631689238,1.1851583017252783,15.992013733304287,15.953509544514997,15.584831667687409
3,2017-04-10 13:31:00,0.000147,0.0001485,0.00014780000000000001,-0.01228388277548414,1.207071896231533,1.197294369743279,1.1826033607318154,17.743956874603533,17.779821390687694,17.47887767161623
4,2017-04-10 13:32:00,5.164e-05,3.686e-05,2.429e-05,1.7070527684376509,1.3367016573646628,1.3119668507456632,1.2765018415526082,6.90272735863112,4.835909811848515,3.100622973131285
5,2017-04-10 13:33:00,4.752e-05,3.152e-05,1.872e-05,2.1083955392619207,1.3460565075164872,1.3202422951107387,1.2832781112138656,6.396460523718348,4.161403714189049,2.4022966241923567
6,2017-04-10 13:34:00,4.742e-05,3.121e-05,1.849e-05,2.1316075605083795,1.346491160167557,1.320626795532839,1.283592955762397,6.385061081514555,4.121676228857991,2.373363375204672
7,2017-04-10 13:35:00,4.637e-05,3.056e-05,1.781e-05,2.1657348762987905,1.3471121603834815,1.321176141877695,1.2840427828418808,6.246559087698204,4.037514289578236,2.28688019624139
8,2017-04-10 13:36:00,4.452e-05,3.013e-05,1.754e-05,2.108160915320844,1.3460520623981778,1.3202383628906957,1.283274891352526,5.992623781796688,3.977878187389667,2.250864159432331
9,2017-04-10 13:37:00,4.733e-05,3.051e-05,1.741e-05,2.263525247912013,1.3487786097136725,1.322650308592864,1.285249890369519,6.383769159774812,4.035406091516828,2.237620059133333
10,2017-04-10 13:38:00,7.2e-05,6.05e-05,5.132e-05,0.7663206892701925,1.2925037150862047,1.2728686710377963,1.244486665415007,9.306026748620674,7.700855459778667,6.386705566909816
11,2017-04-10 13:39:00,6.887e-05,5.519e-05,4.385e-05,1.0217575505885186,1.308845969662353,1.2873252808551583,1.2563243241784992,9.014022193064624,7.104748225039619,5.508982161522718
12,2017-04-10 13:40:00,7.212e-05,5.621e-05,4.335e-05,1.152075513829476,1.3157070783618945,1.2933947231662912,1.2612942298390644,9.488879449145983,7.270171738917723,5.4677104863523445
13,2017-04-10 13:41:00,7.139e-05,5.467e-05,4.145e-05,1.2304880503510318,1.3194246063973885,1.2966833056592282,1.2639870546340057,9.419372265070958,7.088967632039,5.239226341457954
14,2017-04-10 13:42:00,5.593e-05,3.787e-05,2.245e-05,2.065963398903367,1.345235397043287,1.319515928153677,1.2826833324736628,7.523901575663106,4.997006819917975,2.879624081403373
15,2017-04-10 13:43:00,4.966e-05,3.396e-05,2.032e-05,2.0224715183753297,1.3443568305205684,1.318738734691272,1.2820469349283603,6.6760760203651435,4.478436743011559,2.605119371774428
16,2017-04-10 13:44:00,4.683e-05,3.174e-05,1.832e-05,2.1241763067775876,1.3463531039524466,1.3205046688810105,1.2834929535040156,6.304971585809307,4.191281819028327,2.351359090819357
17,2017-04-10 13:45:00,4.701e-05,3.043e-05,1.826e-05,2.1402837725166957,1.3466510521545725,1.3207682384444295,1.2837087749581197,6.330606596178645,4.019097749586399,2.344052223073527
18,2017-04-10 13:46:00,4.497e-05,2.998e-05,1.817e-05,2.0510560018470776,1.3449385511569354,1.3192533337157504,1.2824683094918825,6.048188664552738,3.95512149447982,2.3302449183467506
19,2017-04-10 13:47:00,4.574e-05,2.997e-05,1.742e-05,2.1848860506398347,1.3474514740205483,1.3214763039412543,1.2842885677200124,6.163243042169988,3.9604644829119384,2.2372306849682615
20,2017-04-10 13:48:00,4.507e-05,3.043e-05,1.745e-05,2.1475935931858166,1.3467846906410408,1.320886457105536,1.283805577195113,6.069958600719171,4.0194574889721455,2.240240732205472
21,2017-04-10 13:49:00,4.405e-05,3.003e-05,1.722e-05,2.1258131013099244,1.3463836001251495,1.320531646264555,1.2835150436803966,5.930819758551284,3.965556533732459,2.2102129052176434
22,2017-04-10 13:50:00,4.48e-05,2.936e-05,1.683e-05,2.2158726942902356,1.347986905488111,1.3219499548548674,1.2846764123086958,6.038981336586738,3.881245067453891,2.162110401915535
23,2017-04-10 13:51:00,4.45e-05,2.917e-05,1.743e-05,2.1213826381261933,1.346300937870066,1.3204585219619815,1.2834551665340863,5.991039173521793,3.8517775085631003,2.2370623552689124
24,2017-04-10 13:52:00,4.279e-05,2.904e-05,1.789e-05,1.9737389960564697,1.3433259214166033,1.3178267766377645,1.281300186667155,5.748091617741646,3.826968959356068,2.2922460339475403
25,2017-04-10 13:53:00,4.262e-05,2.8100000000000002e-05,1.595e-05,2.2245177442592348,1.3481333506155015,1.3220795024675591,1.2847824911509722,5.7457443403232675,3.7150434019338414,2.049228073385801
26,2017-04-10 13:54:00,4.148e-05,2.743e-05,1.703e-05,2.0148684860838535,1.3441992816708614,1.318599364554993,1.2819328130051753,5.575738620370734,3.6169180569743458,2.1831315805478138
27,2017-04-10 13:55:00,4.298e-05,2.821e-05,1.656e-05,2.1586103278620548,1.3469842625375046,1.3210630014754847,1.2839501388893462,5.7893383603861945,3.726718727162342,2.1262214300007574
