"Blue","Green","Red","Date","Hour","Min","Date_Hr"
5.025e-05,3.483e-05,2.046e-05,2017-04-10,13,28,2017-04-10 13:28:00
4.867e-05,3.306e-05,2.005e-05,2017-04-10,13,29,2017-04-10 13:29:00
0.0001321,0.0001329,0.0001315,2017-04-10,13,30,2017-04-10 13:30:00
0.000147,0.0001485,0.0001478,2017-04-10,13,31,2017-04-10 13:31:00
5.164e-05,3.686e-05,2.429e-05,2017-04-10,13,32,2017-04-10 13:32:00
4.752e-05,3.152e-05,1.872e-05,2017-04-10,13,33,2017-04-10 13:33:00
4.742e-05,3.121e-05,1.849e-05,2017-04-10,13,34,2017-04-10 13:34:00
4.637e-05,3.056e-05,1.781e-05,2017-04-10,13,35,2017-04-10 13:35:00
4.452e-05,3.013e-05,1.754e-05,2017-04-10,13,36,2017-04-10 13:36:00
4.733e-05,3.051e-05,1.741e-05,2017-04-10,13,37,2017-04-10 13:37:00
7.2e-05,6.05e-05,5.132e-05,2017-04-10,13,38,2017-04-10 13:38:00
6.887e-05,5.519e-05,4.385e-05,2017-04-10,13,39,2017-04-10 13:39:00
7.212e-05,5.621e-05,4.335e-05,2017-04-10,13,40,2017-04-10 13:40:00
7.139e-05,5.467e-05,4.145e-05,2017-04-10,13,41,2017-04-10 13:41:00
5.593e-05,3.787e-05,2.245e-05,2017-04-10,13,42,2017-04-10 13:42:00
4.966e-05,3.396e-05,2.032e-05,2017-04-10,13,43,2017-04-10 13:43:00
4.683e-05,3.174e-05,1.832e-05,2017-04-10,13,44,2017-04-10 13:44:00
4.701e-05,3.043e-05,1.826e-05,2017-04-10,13,45,2017-04-10 13:45:00
4.497e-05,2.998e-05,1.817e-05,2017-04-10,13,46,2017-04-10 13:46:00
4.574e-05,2.997e-05,1.742e-05,2017-04-10,13,47,2017-04-10 13:47:00
4.507e-05,3.043e-05,1.745e-05,2017-04-10,13,48,2017-04-10 13:48:00
4.405e-05,3.003e-05,1.722e-05,2017-04-10,13,49,2017-04-10 13:49:00
4.48e-05,2.936e-05,1.683e-05,2017-04-10,13,50,2017-04-10 13:50:00
4.45e-05,2.917e-05,1.743e-05,2017-04-10,13,51,2017-04-10 13:51:00
4.279e-05,2.904e-05,1.789e-05,2017-04-10,13,52,2017-04-10 13:52:00
4.262e-05,2.81e-05,1.595e-05,2017-04-10,13,53,2017-04-10 13:53:00
4.148e-05,2.743e-05,1.703e-05,2017-04-10,13,54,2017-04-10 13:54:00
4.298e-05,2.821e-05,1.656e-05,2017-04-10,13,55,2017-04-10 13:55:00
4.123e-05,2.76e-05,1.6e-05,2017-04-10,13,56,2017-04-10 13:56:00
4.073e-05,2.707e-05,1.574e-05,2017-04-10,13,57,2017-04-10 13:57:00
4.128e-05,2.661e-05,1.573e-05,2017-04-10,13,58,2017-04-10 13:58:00
4.149e-05,2.75e-05,1.634e-05,2017-04-10,13,59,2017-04-10 13:59:00
4.186e-05,2.804e-05,1.67e-05,2017-04-10,14,0,2017-04-10 14:00:00
4.208e-05,2.791e-05,1.733e-05,2017-04-10,14,1,2017-04-10 14:01:00
4.253e-05,2.753e-05,1.622e-05,2017-04-10,14,2,2017-04-10 14:02:00
4.421e-05,2.865e-05,1.757e-05,2017-04-10,14,3,2017-04-10 14:03:00
4.64e-05,3.057e-05,1.766e-05,2017-04-10,14,4,2017-04-10 14:04:00
4.63e-05,3.108e-05,1.812e-05,2017-04-10,14,5,2017-04-10 14:05:00
0.0001063,9.824e-05,9.354e-05,2017-04-10,14,6,2017-04-10 14:06:00
4.687e-05,3.083e-05,1.916e-05,2017-04-10,14,7,2017-04-10 14:07:00
4.526e-05,3.037e-05,1.755e-05,2017-04-10,14,8,2017-04-10 14:08:00
4.597e-05,2.993e-05,1.703e-05,2017-04-10,14,9,2017-04-10 14:09:00
4.652e-05,3.11e-05,1.858e-05,2017-04-10,14,10,2017-04-10 14:10:00
4.511e-05,3.031e-05,1.808e-05,2017-04-10,14,11,2017-04-10 14:11:00
4.448e-05,2.939e-05,1.775e-05,2017-04-10,14,12,2017-04-10 14:12:00
4.458e-05,2.985e-05,1.761e-05,2017-04-10,14,13,2017-04-10 14:13:00
4.635e-05,3.01e-05,1.763e-05,2017-04-10,14,14,2017-04-10 14:14:00
4.56e-05,2.966e-05,1.728e-05,2017-04-10,14,15,2017-04-10 14:15:00
2.856e-05,1.62e-05,1.625e-05,2017-04-10,14,21,2017-04-10 14:21:00
7.381e-05,6.009e-05,5.034e-05,2017-04-10,14,22,2017-04-10 14:22:00
4.75e-05,3.217e-05,1.921e-05,2017-04-10,14,23,2017-04-10 14:23:00
4.857e-05,3.208e-05,1.891e-05,2017-04-10,14,24,2017-04-10 14:24:00
4.786e-05,3.212e-05,1.825e-05,2017-04-10,14,25,2017-04-10 14:25:00
4.735e-05,3.198e-05,1.772e-05,2017-04-10,14,26,2017-04-10 14:26:00
4.957e-05,3.25e-05,1.914e-05,2017-04-10,14,27,2017-04-10 14:27:00
4.963e-05,3.232e-05,1.89e-05,2017-04-10,14,28,2017-04-10 14:28:00
4.91e-05,3.242e-05,1.876e-05,2017-04-10,14,29,2017-04-10 14:29:00
4.895e-05,3.248e-05,1.905e-05,2017-04-10,14,30,2017-04-10 14:30:00
