,Time Stamp,Raw Blue Data,Raw Green Data,Raw Red Data,S.A.E. (Blue:Red),Blue Correction Factor,Green Correction Factor,Red Correction Factor,Corrected Blue Data,Corrected Green Data,Corrected Red Data
113,2017-04-10 15:31:00,5.058e-05,3.499e-05,2.177e-05,1.9080146540674565,1.3418535515706953,1.3165242956202303,1.2802336623556958,6.787095263844577,4.606518510375186,2.78706868294835
114,2017-04-10 15:32:00,4.808e-05,3.191e-05,1.872e-05,2.134911489272715,1.3465522111462958,1.320680802167877,1.28363717858674,6.474223031191391,4.2142924397176955,2.4029687983143773
115,2017-04-10 15:33:00,4.837e-05,3.234e-05,1.848e-05,2.1777261093891993,1.3473253767195619,1.3213647563288433,1.2841972280084006,6.51701284719252,4.273293621967479,2.3731964773595244
116,2017-04-10 15:34:00,4.894e-05,3.217e-05,1.897e-05,2.1450113627363248,1.3467375937332022,1.3208447944562942,1.2837714621272553,6.590933783730293,4.249157703765898,2.4353144636554034
117,2017-04-10 15:35:00,4.786e-05,3.118e-05,1.819e-05,2.189534580585439,1.3475328595609504,1.3215482988423792,1.2843475200665857,6.449292265858708,4.120587595790539,2.3362281390011193
118,2017-04-10 15:36:00,4.799e-05,3.173e-05,1.898e-05,2.0994524690703393,1.3458863347341437,1.3200917576494349,1.2831548450317836,6.458908520389156,4.188651147021657,2.4354278958703253
119,2017-04-10 15:37:00,4.845e-05,3.234e-05,1.925e-05,2.0890739150547364,1.345686929547895,1.3199153607539071,1.2830104040955905,6.519853173659551,4.268606276678135,2.469795027884012
120,2017-04-10 15:38:00,4.777e-05,3.118e-05,1.843e-05,2.1556076384274916,1.3469300855753799,1.3210150757012975,1.2839108953206275,6.434285018793589,4.118925006036647,2.3662477800759167
121,2017-04-10 15:39:00,4.633e-05,3.097e-05,1.822e-05,2.1122694114069183,1.3461297502263059,1.3203070867386553,1.2833311652280293,6.2366191327984755,4.088991047629616,2.3382293830454692
122,2017-04-10 15:40:00,4.741e-05,3.072e-05,1.792e-05,2.202000110559478,1.3477492452405697,1.3217397169435807,1.2845042609755408,6.389679171685541,4.06038441045068,2.301831635668169
123,2017-04-10 15:41:00,4.482e-05,2.933e-05,1.777e-05,2.0938756156808123,1.3457794428420538,1.3199971994372013,1.283077416930462,6.031783462818085,3.871551785949311,2.280028569885431
124,2017-04-10 15:42:00,4.439e-05,2.932e-05,1.713e-05,2.155075425256308,1.3469204659693073,1.3210065660497718,1.2839039272726391,5.978979948437754,3.8731912516579308,2.199327427418031
125,2017-04-10 15:43:00,4.392e-05,2.923e-05,1.655e-05,2.2089437470262996,1.3478686133065678,1.3218453117711946,1.2845907263053984,5.919838949642445,3.863753846307202,2.1259976520354344
126,2017-04-10 15:44:00,4.474e-05,2.911e-05,1.755e-05,2.1180276955998414,1.346238098238589,1.3204029330572133,1.2834096480830806,6.0230692515194475,3.843692938129548,2.2523839323858064
127,2017-04-10 15:45:00,4.395e-05,2.883e-05,1.7199999999999998e-05,2.1232994509182403,1.3463367461417157,1.320490198509979,1.2834811045770118,5.917149999292841,3.8069732423042693,2.20758749987246
128,2017-04-10 15:46:00,6.007e-05,4.968e-05,3.943e-05,0.9528121190677651,1.3048378216547851,1.2837796114638484,1.2534209861986585,7.838160794680294,6.377817109752399,4.94223894858131
129,2017-04-10 15:47:00,4.427e-05,2.8499999999999998e-05,1.735e-05,2.120066327178027,1.3462763078830595,1.3204367338965526,1.2834373255819598,5.959965214998305,3.7632446916051743,2.2267637598847005
130,2017-04-10 15:48:00,4.352e-05,2.862e-05,1.687e-05,2.1448923854139745,1.3467354207917421,1.3208428722388488,1.283769888137608,5.860992551285662,3.780252300347585,2.165719801288145
131,2017-04-10 15:49:00,4.435e-05,2.84e-05,1.647e-05,2.2419618270862016,1.3484250224741696,1.3223375198809961,1.2849937662793665,5.980264974672942,3.755438556462029,2.1163847330621164
132,2017-04-10 15:50:00,4.349e-05,2.865e-05,1.659e-05,2.1812120478532346,1.347386882104416,1.3214191649385216,1.284241779985891,5.859785550272105,3.7858659075488643,2.130557112996593
133,2017-04-10 15:51:00,4.262e-05,2.8800000000000002e-05,1.683e-05,2.1029690842858697,1.345953432093298,1.3201511130056098,1.2832034476060428,5.736453527581636,3.802035205456157,2.15963140232097
134,2017-04-10 15:52:00,4.319e-05,2.794e-05,1.641e-05,2.1902361852510395,1.3475451102900902,1.321559136025849,1.2843563939921807,5.820047331342899,3.6924362260562216,2.1076288425411684
135,2017-04-10 15:53:00,4.404e-05,2.814e-05,1.743e-05,2.097864967097693,1.3458559676553083,1.3200648944643112,1.283132848365704,5.927149681553979,3.7146626130225715,2.2365005547014225
136,2017-04-10 15:54:00,4.316e-05,2.8499999999999998e-05,1.688e-05,2.1247511561325676,1.3463638200282522,1.3205141484865308,1.2835007157896954,5.810906247241936,3.763465323186612,2.166549208253006
137,2017-04-10 15:55:00,4.3700000000000005e-05,2.874e-05,1.713e-05,2.1196183056480598,1.3462679173864494,1.3204293115341668,1.2834312478504408,5.883190798978784,3.794913841349195,2.1985177275678054
138,2017-04-10 15:56:00,4.353e-05,2.959e-05,1.726e-05,2.0936851447461367,1.3457757815358917,1.3199939605894426,1.2830747648304857,5.858161977025736,3.9058621293841607,2.2145870440974185
139,2017-04-10 15:57:00,0.0001436,0.000144,0.00014539999999999998,-0.02819371905102228,1.204539191925409,1.1950539005494,1.1807687736382768,17.297182796048872,17.208776167911363,17.168377968700543
