,CRDS Time,Averaged Extinction
135,2017-04-10 17:46:23,8.955456825324909
136,2017-04-10 17:47:23,8.82506693166497
137,2017-04-10 17:48:23,9.757411832799477
138,2017-04-10 17:49:23,9.632365073470709
139,2017-04-10 17:50:23,8.771226300924123
140,2017-04-10 17:51:23,9.25411254699798
141,2017-04-10 17:52:23,10.00910453997666
142,2017-04-10 17:53:23,9.923123742596099
143,2017-04-10 17:54:23,9.228311220619684
144,2017-04-10 17:55:23,10.768223864703296
145,2017-04-10 17:56:23,10.557512063804683
146,2017-04-10 17:57:23,11.33068646441814
147,2017-04-10 17:58:23,11.616553353394218
148,2017-04-10 17:59:24,10.689736877362352
149,2017-04-10 18:00:24,
150,2017-04-10 18:01:24,
151,2017-04-10 18:02:24,
152,2017-04-10 18:03:24,
153,2017-04-10 18:04:24,
154,2017-04-10 18:05:24,
155,2017-04-10 18:06:24,
156,2017-04-10 18:07:24,
157,2017-04-10 18:08:24,
158,2017-04-10 18:09:24,
159,2017-04-10 18:10:24,11.238465429026183
160,2017-04-10 18:11:24,10.361488310322635
161,2017-04-10 18:12:24,11.38075722709262
162,2017-04-10 18:13:24,12.007159361161927
163,2017-04-10 18:14:24,11.579162384560163
164,2017-04-10 18:15:24,10.78728124996881
165,2017-04-10 18:16:24,10.660460151735998
166,2017-04-10 18:17:24,11.216264026848968
167,2017-04-10 18:18:24,11.359707893597749
168,2017-04-10 18:19:24,10.470325914825914
169,2017-04-10 18:20:24,10.468193957300002
170,2017-04-10 18:21:24,10.679833029418804
171,2017-04-10 18:22:24,13.051685780017122
172,2017-04-10 18:23:24,12.160294539886932
173,2017-04-10 18:24:24,11.3304948467715
174,2017-04-10 18:25:24,12.040314955428153
175,2017-04-10 18:26:24,10.832037539327633
176,2017-04-10 18:27:24,11.407648171321256
177,2017-04-10 18:28:24,11.001431760787897
178,2017-04-10 18:29:24,10.655740374505587
179,2017-04-10 18:30:24,
180,2017-04-10 18:31:24,
181,2017-04-10 18:32:24,
182,2017-04-10 18:33:24,
183,2017-04-10 18:34:24,
184,2017-04-10 18:35:24,
185,2017-04-10 18:36:24,
186,2017-04-10 18:37:24,
187,2017-04-10 18:38:24,
188,2017-04-10 18:39:24,
189,2017-04-10 18:40:24,9.400252122972908
190,2017-04-10 18:41:24,10.310557061469702
191,2017-04-10 18:42:24,9.004604153435368
192,2017-04-10 18:43:24,10.98350000724988
193,2017-04-10 18:44:24,9.638254133348447
194,2017-04-10 18:45:24,10.052061345175629
195,2017-04-10 18:46:24,9.391324972242456
196,2017-04-10 18:47:24,11.048956560408326
197,2017-04-10 18:48:24,9.787465193092856
198,2017-04-10 18:49:24,9.666247832114687
199,2017-04-10 18:50:24,10.380865229680477
200,2017-04-10 18:51:24,9.338292741669507
201,2017-04-10 18:52:24,10.66515795391567
202,2017-04-10 18:53:24,11.44804068475647
203,2017-04-10 18:54:24,10.493685330055245
204,2017-04-10 18:55:24,9.74388648146651
205,2017-04-10 18:56:24,10.911910179323883
206,2017-04-10 18:57:24,
207,2017-04-10 18:58:24,
208,2017-04-10 18:59:24,10.432463912866469
209,2017-04-10 19:00:24,
210,2017-04-10 19:01:24,
211,2017-04-10 19:02:24,
212,2017-04-10 19:03:24,
213,2017-04-10 19:04:24,
214,2017-04-10 19:05:24,
215,2017-04-10 19:06:24,
216,2017-04-10 19:07:24,
217,2017-04-10 19:08:24,
218,2017-04-10 19:09:24,
219,2017-04-10 19:10:24,10.485137945102247
220,2017-04-10 19:11:24,10.165490986071662
221,2017-04-10 19:12:24,10.320653400657497
222,2017-04-10 19:13:24,9.610050326778623
223,2017-04-10 19:14:24,10.265147568553182
224,2017-04-10 19:15:24,10.321401970273886
225,2017-04-10 19:16:24,10.246190341177767
226,2017-04-10 19:17:24,9.635053693371383
227,2017-04-10 19:18:24,9.395271409800955
228,2017-04-10 19:19:24,10.23766939224154
229,2017-04-10 19:20:24,9.952997179428973
230,2017-04-10 19:21:24,10.325951125327267
231,2017-04-10 19:22:24,10.445080111273226
232,2017-04-10 19:23:24,9.47971160653966
233,2017-04-10 19:24:24,9.103677330439488
234,2017-04-10 19:25:24,10.571299206714391
235,2017-04-10 19:26:24,10.337988906191555
236,2017-04-10 19:27:24,8.762755755578503
237,2017-04-10 19:28:24,11.4122214798576
238,2017-04-10 19:29:24,10.393974008406726
239,2017-04-10 19:30:24,
240,2017-04-10 19:31:24,
241,2017-04-10 19:32:24,
242,2017-04-10 19:33:24,
243,2017-04-10 19:34:24,
244,2017-04-10 19:35:24,
245,2017-04-10 19:36:24,
246,2017-04-10 19:37:24,
247,2017-04-10 19:38:24,
248,2017-04-10 19:39:24,
249,2017-04-10 19:40:24,10.812792976134412
250,2017-04-10 19:41:24,10.972651474333096
251,2017-04-10 19:42:24,11.120260970034865
252,2017-04-10 19:43:24,9.780673506571684
253,2017-04-10 19:44:24,9.5911519013016
254,2017-04-10 19:45:24,10.878068229442068
255,2017-04-10 19:46:24,10.261416060596884
256,2017-04-10 19:47:24,11.467991661911551
257,2017-04-10 19:48:24,8.748442754404909
258,2017-04-10 19:49:24,9.853101566154695
259,2017-04-10 19:50:24,9.397454496019636
260,2017-04-10 19:51:24,9.828527057176673
261,2017-04-10 19:52:24,10.041368474328346
262,2017-04-10 19:53:24,11.16766807438599
263,2017-04-10 19:54:24,10.60148486636412
264,2017-04-10 19:55:24,9.180107961393384
265,2017-04-10 19:56:24,9.087791775752416
266,2017-04-10 19:57:24,9.770671167873688
267,2017-04-10 19:58:24,10.883032553986128
268,2017-04-10 19:59:24,10.384565502376603
269,2017-04-10 20:00:24,
270,2017-04-10 20:01:24,
271,2017-04-10 20:02:24,
272,2017-04-10 20:03:24,
273,2017-04-10 20:04:24,
274,2017-04-10 20:05:24,
275,2017-04-10 20:06:24,
276,2017-04-10 20:07:24,
277,2017-04-10 20:08:24,
278,2017-04-10 20:09:24,
279,2017-04-10 20:10:24,10.265384146736526
280,2017-04-10 20:11:24,10.89460798781164
281,2017-04-10 20:12:24,10.894079505184886
282,2017-04-10 20:13:24,10.421126445695652
283,2017-04-10 20:14:24,9.657399444609704
284,2017-04-10 20:15:24,8.858874647679082
285,2017-04-10 20:16:24,10.466022615875579
286,2017-04-10 20:17:24,9.15442782316319
287,2017-04-10 20:18:24,10.413205034671165
288,2017-04-10 20:19:24,10.529713695890997
289,2017-04-10 20:20:24,10.05958488745913
